	VISTA	CD14	CD163	CD19	PDL1	CD4	CD68	CD8	FOXP3	CD11b	CD20	CD56	PD1	S100A4	SMA	TIGIT
TCGA-E1-A7YW_0	3630.642	2040.1975	491.0991	0	7.3504	853.1067	2070.0586	4.1346	2.7702	512.2315	0	27615.8907	1.3782	42.2648	8.4162	1.3782
TCGA-E1-A7YY_0	1504.1953	1051.4874	124.3326	1.1442	27.0786	456.9031	952.3265	68.2685	8.8177	314.2639	0	15489.1686	1.5256	28.9855	2.1205	1.9069
TCGA-E1-A7Z2_0	5427.9561	361.809	62.7628	1.6409	8.6145	788.432	452.8766	16.8188	17.0895	121.0132	0	13133.4099	2.4613	12.7166	5.661	1.6409
TCGA-E1-A7Z3_0	3672.4652	1256.9583	720.6759	2.4851	21.8688	965.2087	1081.5109	27.833	12.8777	415.0099	1.9881	12646.2475	0.497	26.839	2.9473	8.9463
TCGA-E1-A7Z4_0	3058.2077	1698.4925	168.7605	2.0938	8.794	1709.3802	2105.9464	4.6064	6.3861	514.2379	0.8375	18011.1809	3.3501	23.4506	3.0611	2.9313
TCGA-E1-A7Z6_0	2436.0301	896.9897	1703.6689	0.4704	30.1035	707.4318	1653.3396	2.3518	9.5202	319.3791	1.4111	21320.588	0.4704	13.6406	1.6087	2.8222
TCGA-EZ-7264_1	577.5012	475.7044	88.9324	0.5593	6.1526	274.9074	514.018	5.0339	19.8895	72.4324	0.2797	25602.5365	1.3983	7.5509	2.7603	4.7542
TCGA-F6-A8O3_0	682.2354	291.5767	29.4276	0.27	1.8898	389.0389	402.5378	9.4492	7.9509	69.6544	0.27	28026.5146	0.54	11.879	4.2117	3.2397
TCGA-F6-A8O4_0	1010.4952	342.7353	64.9393	1.3119	4.9196	494.5884	556.9039	20.3345	6.6612	209.2489	0.9839	17102.7353	0.656	40.0131	5.6707	5.2476
TCGA-FG-5962_1	1539.6825	406.9841	191.1111	0.3175	21.9048	605.7143	576.8254	37.1429	22.2698	163.8095	0.9524	22982.8984	0.9524	35.5556	2.6032	44.127
TCGA-FG-5963_0	508.3026	762.9151	706.1808	10.6089	2.7675	393.4502	715.4059	128.2288	13.5655	56.2731	2.3063	10023.5655	3.69	130.5351	2.1494	1.845
TCGA-FG-5963-_0	2253.8878	2780.9331	1672.4138	12.1704	28.0595	2796.8222	8925.2874	131.8458	29.0838	776.2001	1.6903	14222.62	21.2982	144.3543	2.5659	13.5227
TCGA-FG-5964_1	1798.9353	2392.3014	396.8059	0.819	8.5995	1315.7248	3995.086	19.656	13.8657	153.1532	0.4095	15880.9664	12.6945	154.7912	1.5561	2.457
TCGA-FG-5965_1	1058.4601	185.3612	15.2091	0	8.5551	160.6464	160.1711	61.3118	2.8897	32.7947	1.9011	9737.4192	0	10.9316	0	1.9011
TCGA-FG-5965-_1	3083.3141	956.0735	314.7934	0.3077	5.8466	811.1393	1581.9678	17.8475	8.1022	307.716	2.4617	23352.1902	6.1543	100.3154	4.5665	4.308
TCGA-FG-6688_0	2893.7979	1529.1617	2216.1013	1.8486	18.8557	1559.109	4563.4532	14.4191	13.114	505.0374	0.3697	13080.8799	6.655	214.8073	20.4862	5.1761
TCGA-FG-6689_1	3669.0647	1050.0327	98.4303	1.9621	17.3316	1555.5919	2194.5716	23.5448	2.9823	662.5245	1.308	18545.1897	1.308	35.6442	0.9614	3.5971
TCGA-FG-6690_1	3046.1475	844.2522	564.0709	2.0602	11.9489	1314.3799	2288.0099	13.185	9.1059	679.0276	0.8241	21343.733	3.2963	27.6061	2.5505	4.1203
TCGA-FG-6692_0	740.6039	893.536	814.8361	3.4367	8.5917	592.4831	1637.233	70.1082	8.0831	209.2936	2.7493	7013.251	13.0594	912.7814	2.3335	7.9044
TCGA-FG-7634_1	1244.0422	1806.0332	1346.003	1.81	12.0664	1763.1976	3008.1448	6.0332	7.9035	368.9291	0	22522.2685	4.2232	63.9517	14.0302	4.2232
TCGA-FG-7636_1	2469.1858	678.0666	36.6753	0.4265	1.7058	608.5541	1388.1174	8.1027	7.7871	231.5661	0	18207.2218	1.2794	21.7493	2.1536	4.2646
TCGA-FG-7637_0	1495.8866	254.9887	299.3192	3.1918	1.7732	573.104	506.431	6.0289	9.0044	50.0047	10.994	30500.2336	1.7732	30.4993	8.2313	15.6043
