	BRCA1	VISTA	CD14	CD163	CD19	PDL1	CD4	CD68	CD8	EGFR	HER2	FOXP3	CD11b	CD20	CD56	PD1	S100A4	SMA	TIGIT	TP53
TCGA-FG-7634_1	0.299785425	0.156889715	0.120633751	0.037514167	0.011618323	0.045756306	0.220526257	0.221865517	0.010115711	0.042091467	0.121710998	0.05633603	0.218984448	0	0.517736778	0.029895417	0.034071291	0.622772831	0.022060763	0.372411034
TCGA-HW-8322_1	0.204262774	0.111601037	0.046916375	0.006161853	0.009373612	0.017719837	0.069366621	0.079204699	0.023504792	0.03319502	0.141022753	0.127362838	0.059634158	0.007315283	0.620893684	0.012404276	0.023806435	0.098523654	0.212060601	0.356758669
TCGA-HW-A5KJ_1	0.132852174	0.151636446	0.010661937	0.003741977	0.019151618	0.007542752	0.229681787	0.013900113	0.030848793	0.00791258	0.159812603	0.102046373	0.007674179	0.000498246	0.375869279	0.02816039	0.062522486	0.570355015	0.012987705	0.286520183
TCGA-HT-A5R7_1	0.096541284	0.328633053	0.022129046	0.002321732	0.006146157	0.032678308	0.053711249	0.047174909	0.069033706	0.007138348	0.103796192	0.08934074	0.084683789	0	0.290642148	0.016945361	0.00994754	0.143657395	0.017506212	0.043483256
TCGA-DU-6400_1	0.082009253	0.104909867	0.037512673	0.003151871	0.001757512	0.046725552	0.067262038	0.062404911	0.035351501	0.028681564	0.199405434	0.249694031	0.041445756	0.000823062	0.513824988	0.042643726	0.019402485	0.057491367	0.022886109	0.250530513
TCGA-FG-A60K_1	0.110960407	0.207878631	0.02245586	0.00076706	0.013589587	0.011239236	0.076893916	0.06536216	0.009229085	0.017138798	0.133983427	0.027494777	0.137726317	0.004242151	0.480365161	0.002997187	0.006767407	0.231736548	0.046447644	0.198477488
TCGA-DU-7294_1	0.18340402	0.128353541	0.029243749	0.002756246	0	0.01525463	0.054632428	0.061441842	0.01461406	0.029061207	0.103365372	0.052904618	0.066062557	0.001007612	0.530072982	0.009492036	0.006786853	0.450875776	0.04553036	0.222819428
TCGA-HW-A5KL_1	0.136453722	0.331151274	0.095378858	0.000794911	0.006002372	0.017730076	0.150524722	0.160252099	0.011759187	0.024894615	0.114619203	0.040893251	0.276697643	0.000468489	0.487292404	0.016548945	0.005978434	0.178901485	0.021981885	0.226263905
TCGA-DB-5273_1	0.149506386	0.379227059	0.172952481	0.001432233	0.015960752	0.051859599	0.27041006	0.201183159	0.018760978	0.011466192	0.093856209	0.050424792	0.438349729	0.001245664	0.345523365	0.011734617	0.060275652	0.035319549	0.025978022	0.267072842
TCGA-IK-7675_1	0.139928068	0.195350302	0.041140422	0.009981191	0.002038021	0.020466793	0.079138992	0.069873712	0.014904963	0.023610664	0.180577509	0.11419246	0.069914634	0	0.700456011	0.004495072	0.018606	0.151633923	0.008292114	0.263650033
TCGA-FG-5962_1	0.17233017	0.194173758	0.02718445	0.005326417	0.002038021	0.08306394	0.075757764	0.042543719	0.062276541	0.027617383	0.107523967	0.158738803	0.097232051	0.000954211	0.528325633	0.006741901	0.018942814	0.1155509	0.230506559	0.154657816
TCGA-HT-8010_1	0.101791346	0.431794327	0.028835966	0.001957884	0.0081983	0.038747094	0.086849392	0.053350431	0.057821283	0.013600995	0.122944579	0.11832384	0.238053587	0.008104581	0.346370297	0.006027644	0.012929005	0.04384205	0.427005734	0.092559384
TCGA-HT-7606_1	0.344540285	0.121792318	0.024491454	0.001187089	0.007924852	0.007022484	0.066241715	0.063078678	0.005692476	0.104961863	0.13896644	0.030998182	0.13648398	0.000618474	0.416188365	0.002184534	0.016772272	0.040002486	0.004836631	0.28344699
TCGA-P5-A5ET_1	0.12308684	0.130898171	0.026216325	0.000132194	0.007611607	0.013489434	0.045184031	0.042299767	0.020544289	0.016205733	0.167208824	0.079985259	0.070383553	0.000396052	0.445689291	0.005595834	0.00610683	0.14719956	0.020647228	0.27413487
TCGA-HT-A619_1	0.13212921	0.092725423	0.006864716	0.006940094	0.017437113	0.003433695	0.036127133	0.024309493	0.013663889	0.021703356	0.139497004	0.019395247	0.005912173	0.001814443	0.454454648	0.003204597	0.00458296	0.039190185	0.009460135	0.212716529
TCGA-DU-7018_1	0.19826167	0.09193892	0.018066643	0.005547706	0.01603136	0.019888506	0.046636402	0.027188384	0.001674998	0.045987132	0.123290993	0.072187956	0.023867244	0	0.772977734	0.012375961	0.011176898	0.273044042	0.039138631	0.215247369
TCGA-DH-A66F_1	0.120801637	0.190750916	0.029430207	0.011752424	0	0.019740996	0.06836626	0.079165255	0.013489514	0.014780962	0.15827138	0.034206488	0.044384154	0.0004742	0.484510109	0.013400271	0.048662472	0.137385368	0.084054161	0.232866767
TCGA-DB-A4X9_1	0.114067528	0.260054319	0.042578683	0.000174466	0.006696904	0.029671598	0.108238954	0.090337291	0.011370198	0.02217432	0.147587448	0.119952585	0.240895055	0	0.700005125	0.014770737	0.002779174	0.144025816	0.065398733	0.165214428
TCGA-HT-7481_1	0.263810619	0.232190112	0.023250853	0.001948893	0.009864663	0.016026311	0.05401236	0.044687937	0.031565403	0.040766307	0.191482114	0.078160495	0.074117569	0.001539722	0.552188324	0.005439392	0.003684503	0.178386584	0.106370886	0.239346536
